tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.10050000000000001,1129,14974,-9146,-1085,14937,-1763,-17977,4425
0.10100000000000001,3019,11639,-6532,1556,13476,914,-15677,89
0.10150000000000001,5349,8856,-6409,901,9225,471,-9056,-2582
0.10199999999999999,5621,10158,-9411,-656,10589,3029,1716,-7536
0.10249999999999999,4276,11420,-2906,1684,13131,4398,-2012,-7661
0.10299999999999999,-64,8188,-1762,-846,3729,1501,-10144,-7304
0.10349999999999999,-2934,3952,-7767,-6866,-7020,-4419,-13889,136
0.104,-3804,3235,-8559,-9868,-6756,-4192,-12762,6609
0.1045,-6097,3723,-12368,-11766,-6226,-6061,-12241,3356
0.105,-8096,-759,-12221,-10427,-5442,-7952,-15046,-13764
0.1055,-8715,-2011,-10106,-6480,-6439,-7669,-19842,-15414
0.106,-8607,2824,-12208,-5771,-8227,-6436,-13216,-19691
0.1065,-6985,6444,-7214,-2587,-8164,-5915,-1132,-7194
0.107,-4124,7269,1924,1149,-2854,-2155,-2551,5204
0.1075,-1394,8525,4723,3305,2779,7094,-1836,13141
0.108,3003,12576,6289,4144,5673,10504,-3752,9229
0.1085,7012,7499,12148,947,7071,11126,-8773,3071
0.109,10429,8715,15274,2493,21651,13251,-4906,12750
0.1095,8835,13734,14101,4283,17380,15329,-2986,40165
0.11,8859,16204,8808,-5294,12069,11771,5219,43982
0.1105,10494,17953,-2174,-14617,12566,10156,-101,38839
0.111,10095,20413,-4637,-21155,7904,11406,-169,42893
0.1115,-2439,16558,-11,-13797,6156,11043,7229,35204
0.112,-16840,5746,7005,7772,8144,10258,14066,39869
0.1125,-13259,6521,15964,22068,10666,10871,11308,49264
0.113,961,10925,26364,31938,19186,15651,5759,38474
0.1135,17448,16430,39338,41964,23743,19505,9889,40970
0.114,24225,20958,40716,39482,29146,17900,10760,35818
0.1145,25051,22658,35758,32411,29019,17091,10448,21734
0.115,23776,22326,28436,27088,28802,14352,7600,10360
0.11550000000000001,20774,19127,21144,22181,29659,14806,6235,3242
0.11600000000000001,14308,15575,21851,14431,25746,16424,5052,17304
0.11650000000000001,6214,11612,22438,8425,19031,14457,10107,25434
0.11700000000000001,-2042,6638,11888,1422,10979,7736,4982,18105
0.11749999999999999,-9482,179,-7516,-11029,2485,-4076,-5665,-4131
0.11799999999999999,-6140,88,-26704,-22892,-544,-13586,-19773,-15952
0.11849999999999999,-2793,1314,-30800,-29533,-6936,-10781,-29446,-21662
0.11899999999999999,-9170,-1267,-16292,-22716,-4891,339,-23544,-14122
0.1195,-20359,-4239,13484,-615,7309,16766,-3609,10379
0.12,-13067,3189,31282,18472,18125,11096,14281,5336
0.1205,7821,19086,32788,24983,21029,-632,16105,-5367
0.121,25694,27956,39941,34903,29658,8587,14536,2845
0.1215,34249,29399,49704,40944,31001,27016,16101,-12216
0.122,29341,30327,52728,38744,33819,33771,22663,-21606
0.1225,18964,17842,34677,15091,21489,24858,7739,2032
0.123,13097,12750,-6009,-22991,-3984,-958,-28366,-1801
0.1235,1933,13414,-51496,-67354,-23491,-49489,-52951,-33891
0.124,-15885,5371,-113185,-105180,-38361,-104006,-73316,-43343
0.1245,-39046,-12859,-174121,-104368,-38534,-114512,-71746,-29322
0.125,-51530,-25394,-197092,-79643,-33536,-95769,-71017,-22742
0.1255,-44964,-22640,-147248,-35490,-8677,-56408,-40954,4307
0.126,-53843,-16016,-39477,33433,25465,14451,13453,45981
0.1265,-43666,3957,76402,86214,49833,66998,35981,57893
0.127,17218,31284,161588,116894,59611,84545,45687,48443
0.1275,79715,52954,173880,112985,54349,54669,37360,13838
0.128,89606,60341,142348,96516,43959,32904,27150,7870
0.1285,68401,47373,133821,80146,42938,57639,25667,18220
0.129,45011,28920,116616,70807,41696,94109,43097,29090
0.1295,25423,17094,108255,58553,37746,98531,45623,28768
0.13,21463,17569,103746,48902,35813,73148,33585,24544
0.1305,38918,25646,96404,41786,30490,51661,13737,18416
0.13100000000000001,41014,29188,83335,35844,26440,48671,6642,7841
0.13150000000000001,30524,22786,55221,28879,25524,47861,12821,36580
0.13200000000000001,17831,14627,25434,13057,17824,32099,3554,33858
0.13250000000000001,-4331,6007,14659,1152,17245,21446,7499,33158
0.13300000000000001,-10939,255,14549,-1964,14476,18598,9292,40425
0.13350000000000001,-8690,-6114,3482,-9560,10459,9693,3218,11326
0.13400000000000001,4579,2334,-18101,-15421,16949,-18637,-5055,10650
0.13450000000000001,12808,8157,-40122,-20891,12591,-57949,-17559,34517
0.13500000000000001,1405,1568,-62227,-26156,2594,-69121,-20586,49497
0.13550000000000001,-32881,-8266,-51088,-26407,995,-27834,-384,54168
0.13600000000000001,-54584,-9700,-27333,-18471,3919,15806,14319,56269
0.13650000000000001,-33991,1422,7114,-1662,4910,28733,22469,58888
0.13700000000000001,10773,19887,36036,17516,20568,27350,14892,40367
0.13750000000000001,43239,29116,54244,30443,30655,35158,14080,36438
0.13800000000000001,34480,25763,71596,33271,27028,49684,12800,35995
0.13850000000000001,19876,20433,58444,24468,25294,46608,17698,16082
