tiempo,paquete_id,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4.461,990336,4954.4228913123325,6157.669952305502,-11191.758369433008,-3334.8727737950585,-7074.466175368959,-5825.772598379937,-1319.4426106484436,17634.21968400757
4.4615,990337,64.8854639286501,2950.8965255310086,-7735.081422493753,-2808.969360878766,-5271.162529691706,237.63386832102822,-3226.654983502738,15788.452438786277
4.462,990338,-3768.6037779965295,152.10769597055196,-4316.6904412053755,464.0688210481676,-1498.8814491228009,3732.2991676870124,-5872.65464910992,11108.354632728895
4.4625,990339,-2191.3905545095313,1145.2594862693918,-4151.993804858473,2211.228542348382,1794.8316374457163,313.3665746942361,-7360.7755168109625,8239.47363542125
4.463,990340,2746.8870932275045,4504.607553089648,-5413.418477015229,1234.4510342776812,2623.4260296219036,-5917.5791550507265,-6006.8723582774865,6228.4982801267
4.4635,990341,5713.824813649791,6566.974311379718,-5384.103224232371,-347.8212558691248,1921.4675666422795,-7615.809572825277,-1859.7340219096259,1005.2013831646091
4.464,990342,4174.015528441791,5688.949463059846,-4944.0694746864165,-811.2881186563563,2440.5619659722315,-3835.7512654715383,3142.0700029066284,-5854.488101566182
4.4645,990343,581.3521245880302,3179.1578128285555,-6869.871332091334,-687.432071661015,5190.464806879504,-339.10437478447875,6564.780622731793,-7619.347588491055
4.465,990344,-923.7650625835154,1318.0656559493339,-10781.38313286893,-936.8410748361102,8076.795373261646,-952.7270661247576,6972.289504537692,-2772.4341973353535
4.4655,990345,850.3299904122146,1144.0648316484826,-12624.52728879348,-1355.5444301690404,8424.05340588134,-3043.908292311562,4663.03502189367,1942.4967614383752
4.466,990346,3441.352436923209,1921.5276249047192,-9927.613011185516,-1563.854780789151,5907.757908717582,-2655.9671043208164,1644.7240127619134,1232.0729129880565
4.4665,990347,4242.430716404005,2575.2981332368845,-5527.121132808386,-1881.1300280851851,2591.790688183384,-418.5957428074521,330.59387533809877,-1913.266509461348
4.467,990348,3296.6797819036374,3191.7948834810745,-4658.099827185326,-2234.796126500093,1028.3235954432353,155.8609427497821,1440.7483603903042,-2220.5116102826137
4.4675,990349,2189.178938843845,4467.093887135122,-9226.525167598887,-1646.1637628394997,2514.3486551984583,-1721.5478769823872,3549.978269592508,-126.36294334915874
4.468,990350,1600.4909128997078,5926.711687262773,-15739.196520101465,127.48463009730767,5869.382433092927,-2950.5654343498572,4957.586839733531,208.10545136507335
4.4685,990351,1046.2834092946305,5795.91242985215,-18462.839225914213,1672.4164007591608,7695.8659092760845,-746.7386180043959,5171.621043197595,-2172.5213484610285
4.469,990352,191.00036868255847,3135.663843042934,-14722.558576839114,1778.61986230836,5453.123610504024,3916.269863578973,4419.992046802828,-4172.111018080559
4.4695,990353,-699.4532200621961,-597.2424476814358,-7678.814240726251,1192.4107113636082,664.545219202204,7736.947572671529,2879.5496731632675,-3497.9432679307247
4.47,990354,-1207.7260010443256,-2705.6930625985647,-3408.5210731049206,1195.9499288604961,-2435.5925993080887,8829.732300664575,742.592926428315,-1010.7424198974845
4.4705,990355,-786.1518012700462,-1495.6416695513358,-4665.10334847183,1117.8185487878686,-1770.83059886104,7884.567725451203,-1885.059881337566,1600.4010252527457
4.471,990356,1296.3786838613903,2745.3317230408475,-8376.808426273388,-1146.032842868754,481.1521180770152,6088.417274043308,-5077.234595483593,3988.7960656031732
4.4715,990357,4842.878459884285,7860.817268694998,-10075.13626133586,-5960.65199680806,966.817756224461,3529.1120583695847,-7827.347942257722,6663.510657228313
4.472,990358,7618.6437527778035,10722.701072891556,-9735.366264503375,-10563.462503014021,-998.3170926202456,157.0014673668784,-7223.57496850363,10022.374535605035
4.4725,990359,7151.522675632175,9769.357193581549,-11684.732039780207,-11604.957580437673,-3247.4556715384642,-3025.4262130045663,-1341.8086460092363,13983.50028155642
4.473,990360,4183.532669629687,6967.804358920338,-18439.988444706396,-8373.688770175557,-3606.940595264461,-4731.968262689197,6778.912753707452,17222.336290578125
4.4735,990361,1807.551713134868,5011.415254005111,-25520.76760719914,-2717.817276617523,-2266.188135161068,-4619.068976794788,10815.17052121155,17489.70450742098
4.474,990362,93.02626946463351,2554.070153415829,-23804.57330696671,3382.431071189025,-1437.7986115231251,-3041.6153855712982,7819.419643629604,14435.040166362043
4.4745,990363,-4737.600418347349,-4250.630206523307,-8224.372105960312,8783.707016492961,-2942.0968632590993,-266.14316339010475,1118.3960058381745,10518.739735149036
4.475,990364,-13258.333413596327,-14662.777557182875,15653.388105444588,12342.220983817006,-6294.098349242028,3257.8192544943176,-3936.6004592261615,6898.381435491472
4.4755,990365,-18590.39226343021,-21667.349509768384,34107.8403881417,13023.258203811716,-9151.805088293735,6001.825110931941,-4989.747336347563,1266.3704949545408
4.476,990366,-13228.909312524249,-19222.22253679418,35139.27437510397,11070.100701101492,-9275.288192831815,5625.55246414274,-3235.874496295575,-6872.633001902384
4.4765,990367,1116.5390438009345,-8673.072409751636,17845.398493416753,7785.452594265065,-5949.909114566766,1408.6123775204796,-1189.8049641185135,-12343.216020566331
4.477,990368,13424.48171263939,3103.4860197130947,-6000.865847042638,4242.735780663363,-305.2283665974537,-3311.6774249005757,-465.3480711407501,-10687.583803334408
4.4775,990369,13473.821437436476,9620.528522263136,-20123.45727494086,1396.6922261444633,5147.049831426124,-3257.0321960804868,-487.1121358419914,-5770.490410406863
4.478,990370,1350.4141374211904,8249.285471435622,-15976.49812092476,773.3121316463803,8095.271978545414,2383.1151856115575,566.1109595392518,-5441.011743274659
4.4785,990371,-13073.85997177256,585.0274325395003,1569.4279437506557,3097.4478436122936,8374.366122062496,7617.677661773589,2712.0686789766714,-10882.155710942649
4.479,990372,-19522.605631004866,-8564.633600027537,20347.177742145424,6467.12142636001,7653.026580333537,6466.716278788617,3035.1624496033382,-15881.965246198517
4.4795,990373,-15435.931329674631,-13486.873178140826,31623.064545046018,7784.108710275479,6815.051564465932,439.02786525414194,-792.4276180015186,-16946.020559224587
4.48,990374,-5484.505388877733,-11038.644564657992,34293.532859723426,6166.725432389394,5127.020547603828,-4207.222428948255,-6640.254426299345,-18216.652030933325
4.4805,990375,4024.542429029618,-3139.484812655708,30969.880176013023,3611.7738379432594,2672.9610063501277,-5405.2556805043005,-9718.238399979327,-23016.178556196668
4.481,990376,8719.369204182221,4418.898795049252,23167.416629033873,2121.2476995622455,1586.3998714543868,-6917.43123049806,-8006.904173877082,-25088.996794906816
4.4815,990377,6909.750418157804,6708.284153213948,10989.60468920375,1298.7576893564333,3306.2021237417416,-10548.239671288577,-3720.624729483964,-14943.734672901137
4.482,990378,172.52106021271084,3703.9501878362007,-3620.3353701856704,-591.9166888049858,6122.247186166572,-11596.202927570046,225.2756352628685,5584.460917082348
4.4825,990379,-6864.369804041529,-591.4518136033985,-14915.397451006367,-3785.9340261592915,7273.575901508895,-5216.534615134995,2343.489029809907,21756.62277862678
4.483,990380,-9371.017521902259,-2702.1746731722596,-16670.145780948827,-6252.5344049979885,6474.019793678457,5763.527572589115,1477.5971497452829,21280.72786500848
4.4835,990381,-6112.73615546011,-2646.8107491467126,-8107.280647898073,-5936.2559101398765,5384.326669296723,13593.128645314879,-2749.5969254165484,6575.22507344971
4.484,990382,-471.14253065789217,-2684.297328650407,5130.315496565497,-3025.5336494320795,4294.16555435114,15030.834280799862,-7714.733971341855,-10559.607851634264
4.4845,990383,2758.830176097457,-4089.7069438269314,16321.85454816272,323.70827708025047,1866.95372966287,13926.950989738376,-9122.50281530985,-21986.087961604895
4.485,990384,1989.0301546259716,-5550.595088090244,22221.42946522566,2017.365270642661,-1678.4286775556843,14112.54783125503,-5518.547284190589,-27592.801671912806
4.4855,990385,-186.24236022661808,-4766.436720864966,22740.758891236837,1611.8244295118402,-3799.317425389438,13682.691283515416,586.1034335388449,-29869.381531321924
4.486,990386,-982.326882890763,-1569.8283625334116,19201.11107492837,381.6842467772067,-3129.876909051969,8708.163381679378,6424.178074543897,-29033.104623452706
4.4865,990387,-937.8555115336649,1318.8186748143003,13776.957039070208,-88.25435024439957,-1747.390790574067,299.37949415121966,11660.436498100176,-24282.091053783774
4.487,990388,-1921.7865640560062,1485.448861578233,8698.233934127857,245.4178788780614,-2596.340388986667,-5560.98071791944,16446.562155174317,-16796.555158796353
4.4875,990389,-3131.1252058034224,61.99797854381086,5044.135302654736,-264.1936237099576,-5872.408642498371,-5294.884308736491,18582.655148875325,-9126.17664932563
4.488,990390,-1904.335040783204,139.95484348454556,2850.8714892915877,-2607.1605760253738,-8938.099526534479,-1819.8219558480955,15001.55067169388,-2722.959905278867
4.4885,990391,1771.904880537832,2089.125638041232,2014.2863423549902,-5318.132079973287,-9004.184244598235,8.13797216486546,6176.826876118315,2262.0346153542855
4.489,990392,4750.750827887,2983.082706713793,1994.6003563750864,-6431.225862794654,-5450.371134723753,-516.9400134425003,-3231.854561710854,5901.957681695882
4.4895,990393,5792.483657885789,1977.5820440303457,904.7764346587128,-6818.904840977348,-286.29197246309013,-899.5707090569695,-9238.351802199646,8568.277188122207
4.49,990394,8033.401857104211,3210.382298301074,-3478.506731327904,-9666.652712734416,3482.8468798679214,-425.40731420976863,-11978.532943835835,10822.46866683471
4.4905,990395,13466.950439489041,9613.753969100775,-10930.336170898954,-15995.043944109682,4533.035829725179,-499.9977028552639,-12671.730041506878,12483.367621055791
4.491,990396,16994.746631374866,15787.40677720825,-17982.499967177726,-21837.720657029648,4219.0592884634425,-868.9232910495448,-9721.180629562172,13409.111847772556
4.4915,990397,10862.229251222823,12750.774943067281,-21043.211794238465,-21012.389445220288,4676.921576451969,318.8154094848396,-1592.327728542914,15039.18778777475
4.492,990398,-4096.457875822558,352.5045363324498,-19592.583966186794,-11091.605461397041,6400.676228363172,2231.4142436472102,7616.583687953862,18179.46860710969
4.4925,990399,-16469.76348166691,-10898.12779005737,-15082.780137478665,3544.3953747380947,7855.579917750123,1124.6403985212473,10456.06343010567,19469.992288087822
4.493,990400,-16795.271333753957,-12750.497791616925,-7985.068995729598,15075.74804107175,7008.927379030953,-4057.910906351188,5113.775508937421,14390.298098411544
4.4935,990401,-8204.636700518702,-8460.210512256977,1426.659626983046,18876.916687286597,3330.859925759527,-9199.948699142795,-1961.6080628781474,4191.967734767466
4.494,990402,-51.19295345118735,-5394.888339322231,9662.915375629374,16664.837585944457,-1248.8340854313246,-10618.588054281809,-4349.083058714379,-4665.166470372893
4.4945,990403,5362.414104878513,-3637.9024028803833,10536.080719510039,13284.590302249886,-3630.5557384714375,-10743.049946471598,-3096.677184692162,-8074.899854122827
4.495,990404,12659.105785990827,1905.4354174370928,958.8342959360634,11158.963134415239,-2347.5877891862383,-14507.290553526482,-3200.4735866376996,-6626.986704428794
4.4955,990405,21109.772926482638,10578.348051532792,-14193.820793264353,8551.952355170437,868.1692282189679,-20427.337512145605,-5341.364768440286,-1145.719487554586
4.496,990406,20805.510614547056,14102.04754890543,-23991.131711646736,3191.689663710611,2454.2186237027518,-19538.074361027753,-5111.171554776021,8086.911176584659
4.4965,990407,5389.377565289644,7096.0962439577415,-19542.76654672213,-3431.9549955291823,36.5920637699146,-6147.196572466681,-292.90543637393785,16892.75767807464
4.497,990408,-16023.288587078498,-5163.196125184448,-1553.9785853511094,-6759.7323313708985,-5625.081086295671,12669.698611061973,4615.457921296612,17840.120182922048
4.4975,990409,-26281.26252804136,-12641.14957282287,20149.28102383907,-4356.49533981864,-11442.549105271351,22772.530922368147,3185.2474163488905,8614.397183398116
4.498,990410,-19276.92538766511,-11778.49664610259,34998.202181311375,1059.9142035564064,-14747.82397751708,18373.6013619868,-5203.873993953582,-3424.597741616211
4.4985,990411,-5729.685751165713,-7419.110229949221,39104.01903038741,4749.974925336084,-15164.349865292143,7793.679260042469,-14608.41781209663,-8726.109557262273
4.499,990412,1377.0244469751888,-4888.065762825694,35060.04945517827,4884.8170777386,-13757.225466855054,2476.5456397924463,-18944.91461222555,-6208.230777778184
4.4995,990413,896.8554434970647,-4333.000897843494,27276.911627558457,3110.947807570359,-11163.415679483467,4209.016014234287,-17170.156062445763,-2827.158253087435
4.5,990414,-235.76896276340267,-3387.930959391336,18929.679137254643,1244.0889180863578,-7580.787202127798,6371.830931840037,-12207.46894653838,-3133.6429163601115
4.5005,990415,1278.5943530843824,-1458.285747448786,11414.2402838241,-1033.1412633780342,-4113.515959472083,4774.6850226750785,-6989.052942986871,-3873.5237462977843
4.501,990416,3211.526715651591,876.6089063091995,4704.755767672919,-5279.751992121717,-2474.0352234158413,2122.4547555858485,-2718.42622122045,-443.1327084615509
4.5015,990417,4067.935335255143,4001.6034287573584,-1480.9834744645686,-11721.179833807428,-2860.4681048224593,1990.4695432304434,247.0145620575231,5755.608543793992
4.502,990418,4586.776867119361,7723.0780685433965,-6479.605512284685,-17486.742517757713,-3298.669818085571,3130.902393881315,1776.9549446409765,10047.305573942916
4.5025,990419,3940.972251518817,9041.59827402886,-9288.588688605529,-17811.487604235765,-1826.9593237285862,1833.397979453317,2831.213694028267,11279.853417540624
4.503,990420,153.34688285014818,5101.094455459808,-10190.249100167071,-10291.630353537377,1406.6771834587416,-2731.009346929379,5632.720704690673,10919.049574174434
4.5035,990421,-5085.595677500702,-1583.38653123089,-10731.555119145272,1595.7477782399947,4757.029959328998,-7850.993255455871,11189.831863322841,7708.920982440907
4.504,990422,-6581.20115546402,-4397.7979620132355,-12109.166301675934,10385.063283511572,6879.191867072543,-10726.328068972514,16797.09662863774,-246.85829109614951
4.5045,990423,-2277.2405760450692,-510.0725116058395,-14301.089189379532,11050.653944501963,7169.754466682267,-10704.91920066158,18096.361676207245,-8523.448609699451
4.505,990424,3335.651811950871,5232.753873266587,-16446.726850878396,5247.226364707385,5352.131695757973,-8614.447653410383,14416.204486821307,-8522.79372821534
4.5055,990425,4298.864509085184,6024.0196223601515,-17184.388889112273,-922.9054756429941,1814.65396055185,-5442.576817269775,10142.310109793245,1270.0229802346112
4.506,990426,-172.1262661258038,640.7291633066379,-15007.051979837272,-2444.3319661691203,-1966.8848419158512,-1956.1765390572646,9239.490583351711,11666.351846446962
4.5065,990427,-5516.840576253174,-6321.307096069838,-9585.590518496412,1215.5624155405037,-4325.85498605227,1030.402513503781,9834.372323651512,13669.255924175897
4.507,990428,-6835.83179912761,-9844.38134025215,-2994.111486511291,6658.029235576154,-4764.74375971293,2458.6056240478265,6603.034125178228,8719.399400801773
4.5075,990429,-2737.976560056679,-8328.029610685668,1263.7526768204725,9669.673048715691,-3898.4833254283935,1486.1910645674889,-1581.104629464892,4125.977335531981
4.508,990430,4577.856522356439,-3378.1232699196617,1032.2317756785324,8403.787456119806,-2310.271476358483,-1480.331866821507,-8911.251132584503,2066.101991529379
4.5085,990431,11190.323610642141,2181.0622832659556,-2631.5860511460737,4270.094494432338,-354.7438538225183,-4450.628662261966,-9003.385702553252,-1201.1361185566257
4.509,990432,13419.073480886438,5869.705423403328,-6360.5970643987075,242.8109927739979,1087.296341110131,-5093.338267289082,-2365.8477057844366,-6799.103200701669
4.5095,990433,9658.02129357362,6169.278502019935,-7524.096039677658,-1452.6789090794427,1087.6097171519646,-2529.574901269745,4534.444165212508,-9943.003827931181
4.51,990434,1840.9451387213373,2975.6754426008742,-6659.730934984391,-554.808227254051,246.23308492878186,1733.9689211517398,6730.120873117584,-6312.404298281879
4.5105,990435,-4902.150590236649,-1465.2755826618418,-6491.401653826949,1268.9017452731975,426.6767949897612,4209.875622231792,4775.355588692799,2178.018075537891
4.511,990436,-5513.164534807032,-2863.6170862422837,-8229.76739789632,1434.621272517767,2345.072048796502,1689.4855483305273,1518.144410883448,9619.225738417394
4.5115,990437,525.2189143962905,1398.4961592898958,-9514.776366503524,-1587.1242811920674,4384.269170808151,-5220.713268328421,-1948.9543595877685,11963.58403111744
4.512,990438,7728.904383769828,8143.8145212936515,-6830.684079321198,-6379.549417693717,4300.2234772876545,-11112.562661747685,-5436.4190011992905,9586.272777610757
4.5125,990439,8959.117107379076,10513.744110964239,96.86430362205556,-9230.56060352492,1715.8125831925126,-10355.122083128685,-7237.489631737029,5537.63421323275
4.513,990440,2777.61700951154,6002.693977077801,7009.285896868506,-7978.396969186616,-1246.2393983097463,-3194.5656716415733,-5698.237607392827,2327.842763072918
